State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Kimberly,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Jessica,Ashley,Ashley,Ashley,Jessica,Ashley,Ashley,Jessica,Hannah,Hannah,Hannah,Hannah,Hannah,Madison,Madison,Madison,Emma,Madison,Madison,Emma,Emma,Emma,Emma,Emma,Emma
Alaska,Mary,Mary,Mary,Mary,Mary,Lisa,Mary,Lisa,Michelle,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Samantha,Ashley,Hannah,Emily,Emily,Hannah,Madison,Madison,Hannah,Emma,Madison,Emma,Isabella,Emma,Isabella,Sophia,Olivia,Emma
Arizona,Mary,Mary,Mary,Lisa,Mary,Lisa,Lisa,Lisa,Michelle,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Ashley,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Alexis,Samantha,Emily,Ashley,Emily,Emily,Emily,Emily,Mia,Isabella,Isabella,Isabella,Isabella,Sophia,Sophia
Arkansas,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Angela,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Amanda,Amanda,Amanda,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Jessica,Ashley,Jessica,Ashley,Jessica,Ashley,Ashley,Ashley,Hannah,Hannah,Hannah,Hannah,Hannah,Hannah,Madison,Madison,Madison,Emily,Madison,Madison,Madison,Emma,Emma,Emma,Emma
California,Karen,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Isabella,Isabella,Isabella,Sophia,Sophia
Colorado,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Michelle,Michelle,Michelle,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Ashley,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Emily,Hannah,Emily,Hannah,Emily,Emily,Madison,Emily,Emma,Emily,Isabella,Isabella,Isabella,Isabella,Isabella,Olivia,Emma
Connecticut,Susan,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Jessica,Jessica,Jessica,Ashley,Jessica,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emma,Emily,Olivia,Isabella,Isabella,Isabella,Isabella,Isabella,Sophia,Emma
Delaware,Donna,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Ashley,Ashley,Ashley,Ashley,Jessica,Ashley,Jessica,Jessica,Jessica,Sarah,Emily,Emily,Emily,Emily,Emily,Madison,Emily,Emily,Madison,Madison,Madison,Ava,Ava,Isabella,Sophia,Sophia,Sophia
Florida,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jessica,Jessica,Jessica,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Ashley,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Emily,Isabella,Isabella,Isabella,Isabella,Isabella,Isabella,Isabella
Georgia,Mary,Mary,Mary,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Lisa,Kimberly,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Jennifer,Amanda,Jennifer,Jennifer,Jennifer,Jessica,Ashley,Jessica,Jessica,Jessica,Brittany,Ashley,Ashley,Ashley,Ashley,Ashley,Taylor,Ashley,Hannah,Hannah,Emily,Hannah,Madison,Madison,Emily,Emily,Emily,Madison,Madison,Madison,Madison,Isabella,Emma,Emma
