Year,Girls,Boys
1960,Mary,David
1961,Mary,Michael
1962,Lisa,Michael
1963,Lisa,Michael
1964,Lisa,Michael
1965,Lisa,Michael
1966,Lisa,Michael
1967,Lisa,Michael
1968,Lisa,Michael
1969,Lisa,Michael
1970,Jennifer,Michael
1971,Jennifer,Michael
1972,Jennifer,Michael
1973,Jennifer,Michael
1974,Jennifer,Michael
1975,Jennifer,Michael
1976,Jennifer,Michael
1977,Jennifer,Michael
1978,Jennifer,Michael
1979,Jennifer,Michael
1980,Jennifer,Michael
1981,Jennifer,Michael
1982,Jennifer,Michael
1983,Jennifer,Michael
1984,Jennifer,Michael
1985,Jessica,Michael
1986,Jessica,Michael
1987,Jessica,Michael
1988,Jessica,Michael
1989,Jessica,Michael
1990,Jessica,Michael
1991,Ashley,Michael
1992,Ashley,Michael
1993,Jessica,Michael
1994,Jessica,Michael
1995,Jessica,Michael
1996,Emily,Michael
1997,Emily,Michael
1998,Emily,Michael
1999,Emily,Jacob
2000,Emily,Jacob
2001,Emily,Jacob
2002,Emily,Jacob
2003,Emily,Jacob
2004,Emily,Jacob
2005,Emily,Jacob
2006,Emily,Jacob
2007,Emily,Jacob
2008,Emma,Jacob
2009,Isabella,Jacob
2010,Isabella,Jacob
2011,Sophia,Jacob
2012,Sophia,Jacob
